,epoch,training_loss,training_accuracy,training_precision,training_auc,valid_loss,valid_accuracy,valid_precision,valid_auc
46,47,0.2409064945203552,0.90640795,0.8794697,0.9533784424730503,0.23780262941186764,0.8998794,0.79886687,0.9678650680874944
47,48,0.2544033850887659,0.8995764,0.86972255,0.9470388207823441,0.2940129637358703,0.86851627,0.74025977,0.9602008730760714
48,49,0.24779797119103358,0.90668124,0.87865436,0.9496323328752858,0.23669188416622516,0.89143544,0.79142857,0.9657670602804947
49,50,0.23660242608831725,0.9087307,0.8757886,0.9532874121222962,0.21162452684452507,0.907117,0.8258258,0.9722645741547682
50,51,0.23924263945929192,0.9081842,0.87918663,0.9539033362568835,0.21324461206020867,0.91797346,0.83431953,0.9741146877523189
51,52,0.23366088461787962,0.90845746,0.8789809,0.9547397400992731,0.19057095983707142,0.9167672,0.8526646,0.9771218821156855
52,53,0.22848445472597245,0.910097,0.8819777,0.9575126038180866,0.22755243651685728,0.90470445,0.8028169,0.9741083000723902
53,54,0.22970100255966316,0.9118732,0.8783837,0.9562775849470093,0.19633644231481634,0.9215923,0.84179103,0.9766132595851119
54,55,0.22116945221997752,0.91351277,0.87601703,0.9605451853295165,0.2027395568940838,0.91917974,0.83480823,0.976616437754169
55,56,0.21776665260877615,0.91788495,0.888233,0.9618167562564571,0.201289383750701,0.9143546,0.82890856,0.9756119533685612
56,57,0.22493416823631004,0.91078013,0.8730097,0.9581141004632813,0.18143892006002663,0.92641735,0.85846156,0.9823956058711307
57,58,0.2094072374486096,0.91774833,0.882764,0.9633101046166903,0.23772308766050995,0.89626056,0.78729284,0.9744230355226507
58,59,0.21322862991243946,0.9207542,0.89469516,0.9625430465279649,0.2440552205494431,0.89746684,0.7831978,0.9761968333181408
59,60,0.21169152370399424,0.9210275,0.8935331,0.9624851559929637,0.2130299503448789,0.91797346,0.82471263,0.9785968334609454
60,61,0.20253853162327887,0.92389673,0.8987742,0.9659014747677812,0.19305629611231018,0.920386,0.847561,0.978183644052903
61,62,0.20228869765935853,0.926766,0.9005503,0.964758985043731,0.2531626531887975,0.89626056,0.7765958,0.978479245421457
62,63,0.20607705957691824,0.9202077,0.88685846,0.9638340107185194,0.2466373950135147,0.90470445,0.7929155,0.9741846287290048
63,64,0.20175221477587996,0.92457986,0.8980315,0.9635941937265118,0.21120367343430785,0.9143546,0.81948423,0.9754784479573615
64,65,0.1951811132876986,0.92498976,0.89320385,0.9682149452134895,0.1973936031735418,0.9155609,0.8274854,0.9800400565216658
65,66,0.19007076121574543,0.9284055,0.9044988,0.9687488427322114,0.14564306577454142,0.9384801,0.8857143,0.9871765794796288
66,67,0.18833755658719853,0.92963517,0.9016777,0.9698150356767563,0.23005891796223937,0.90591073,0.795082,0.979512396992994
67,68,0.18161770141622313,0.9322312,0.9036519,0.9704008695613422,0.19369545634229307,0.9215923,0.82436264,0.9835177016866858
68,69,0.18898802210718968,0.927859,0.9088729,0.9693543393904613,0.16603458460658538,0.9276236,0.85240966,0.9830853819598528
69,70,0.18706535091408616,0.92949855,0.91061455,0.9703394624318387,0.19441255780590747,0.9227986,0.8422619,0.9795441490500432
70,71,0.18218292188892388,0.9325044,0.90625,0.9716528306850077,0.16510989735368078,0.933655,0.8610272,0.9844332118490038
71,72,0.18336302397078155,0.93072826,0.9038687,0.9705641678955148,0.19982445595923035,0.91073585,0.8254438,0.975208277077234
72,73,0.179368763174625,0.93537366,0.9186927,0.9694119995432391,0.21253488159348652,0.90952957,0.82111436,0.9749921102859249
73,74,0.179227361419167,0.93441725,0.9164678,0.9713597867953702,0.18827668656072657,0.920386,0.82758623,0.9845063545997345
74,75,0.15945172461248808,0.9402924,0.92050374,0.9786417711416131,0.18196498599033736,0.9215923,0.8438438,0.9799352138121101
75,76,0.16453309972126767,0.9402924,0.9211667,0.9751054047041943,0.18320306893820065,0.920386,0.82947975,0.985749280047302
76,77,0.16555307457593316,0.9385162,0.92109436,0.9746774294483811,0.21261605900005676,0.91073585,0.80898875,0.9779134154486606
77,78,0.1642585291314327,0.9390627,0.91791046,0.9768561104334752,0.2086385214146321,0.91917974,0.8252149,0.978698639441085
78,79,0.16108543508560022,0.9394726,0.91669923,0.9757327607601081,0.21620170274508985,0.9083233,0.80617976,0.9770742192435735
79,80,0.15669588433342693,0.9435715,0.9225655,0.9766994104953216,0.1961817815787506,0.920386,0.82758623,0.9809651519389697
80,81,0.16199471033913124,0.94042903,0.9228639,0.9757973526347744,0.2658454539525054,0.8866104,0.7617801,0.9733962934922744
81,82,0.15639076780002045,0.94056565,0.9146956,0.9784492957835477,0.1742260625565692,0.9300362,0.85119045,0.9836258462685528
82,83,0.15390845712196438,0.9457576,0.92736554,0.9780001814949315,0.15984546512239517,0.9372738,0.89032257,0.9812257059409273
83,84,0.15440907140282403,0.945621,0.9230171,0.9775998173950036,0.1800703195039412,0.92641735,0.8477612,0.9810921912155743
84,85,0.15488525182833304,0.94179535,0.9221698,0.9786286170198628,0.21742770083662036,0.893848,0.7768817,0.9825513736782914
85,86,0.1467204464767202,0.9469873,0.92628706,0.9807388741418477,0.20284517895794318,0.9010857,0.79444444,0.983253855853197
86,87,0.14878714307053426,0.9479437,0.9308448,0.978303012696375,0.17194773234534824,0.92400485,0.8468468,0.9833269691194589
87,88,0.1480377670089914,0.94808036,0.93053377,0.9784942547162641,0.18491802346388236,0.920386,0.8352941,0.9814323840514143
88,89,0.14800328432685006,0.9449378,0.92418915,0.9793659268833164,0.1848771742177707,0.91917974,0.8470948,0.9776177722317614
89,90,0.14081149708674587,0.9478071,0.9291308,0.9806073580958503,0.19547845973027703,0.91314834,0.82080925,0.9802053820162953
90,91,0.1384887519263394,0.95340896,0.93835884,0.9809375886693301,0.18774535931844546,0.91314834,0.8226744,0.9799892224101254
91,92,0.12588145354059505,0.9535456,0.93227553,0.9856409091232762,0.211344945823057,0.89746684,0.7878788,0.9814769243651864
92,93,0.14049669808866808,0.9502664,0.9309672,0.9815144206554905,0.23557791868011288,0.88902295,0.772973,0.9809683061344026
93,94,0.14233508366800784,0.9487635,0.9299961,0.9796059510422398,0.26704512284652965,0.8648975,0.7309645,0.9770010568756227
94,95,0.13028928583628094,0.95340896,0.93359226,0.9830911878493654,0.21134189643365733,0.9034982,0.80924857,0.9745152503728084
95,96,0.12836756660856335,0.95217925,0.9333593,0.9845834309942926,0.23540838658629915,0.88902295,0.77150536,0.9768008091801934
96,97,0.13192254705816478,0.9549119,0.93725646,0.9837407376294351,0.27826789583992867,0.8648975,0.7309645,0.9738889941306905
97,98,0.1282682404337416,0.9538188,0.93774474,0.9832964660515012,0.22502573434178086,0.8926417,0.7808219,0.97902285761192
98,99,0.1148436698268054,0.96283644,0.9485581,0.9861503161980382,0.17777859320273157,0.92400485,0.85106385,0.9806026482087994
99,100,0.1152177574914669,0.9606504,0.94578785,0.9866405267823983,0.2150726343849977,0.89746684,0.7927171,0.9792516994337067
100,101,0.11068942178178678,0.96338296,0.95215684,0.9880471473840524,0.2679329883201616,0.87454766,0.746114,0.9736505855818428
101,102,0.12018975586896223,0.95614153,0.93986726,0.98458937754841,0.24863957389020805,0.87454766,0.7486911,0.9772967182088684
102,103,0.11768841484190255,0.9610602,0.9504132,0.9867141418760949,0.20885031651683034,0.90470445,0.80112046,0.9812003595933321
103,104,0.12521450391515412,0.95969397,0.94494337,0.9846858255949585,0.2385805294488358,0.89143544,0.77868855,0.9792802852333621
104,105,0.11427252675458933,0.9611969,0.9448329,0.9874984560998079,0.24632082983348136,0.89143544,0.77567565,0.975456168581674
105,106,0.11103460320945581,0.9610602,0.94550407,0.9872570919523483,0.21987228098227693,0.8986731,0.7900553,0.9832538305137628
106,107,0.1112164423345078,0.96379286,0.9522131,0.986663636949026,0.22902284025139344,0.89626056,0.78729284,0.9792103461598167
107,108,0.10206920727143251,0.96447605,0.9505452,0.9891536973470085,0.20771094005941373,0.90952957,0.81556195,0.9784379421139504
